YEAR,humidity,tavg,tmax,tmin,district,rainfall,wind,climate_source,distance_km
2004,77.73,20.45,36.36,8.84,Mulanje,3.31,2.1,,
2005,69.56,21.57,37.36,8.48,Mulanje,2.31,2.07,,
2006,73.32,21.07,37.84,7.94,Mulanje,2.72,2.01,,
2007,76.0,20.72,36.86,7.94,Mulanje,3.3,2.08,,
2008,72.06,20.78,38.46,8.02,Mulanje,2.49,1.98,,
2009,73.87,20.83,37.16,8.38,Mulanje,2.42,1.99,,
2010,73.97,21.26,37.8,8.08,Mulanje,3.79,2.03,,
2011,73.3,20.86,39.08,8.63,Mulanje,2.47,1.95,,
2012,71.05,21.2,37.57,7.23,Mulanje,2.9,2.0,,
2013,74.06,20.61,37.39,8.61,Mulanje,3.25,2.1,,
2014,72.27,21.12,38.1,8.72,Mulanje,2.71,2.06,,
2015,72.07,21.22,38.87,8.57,Mulanje,4.01,2.0,,
2016,69.91,21.77,38.64,8.7,Mulanje,3.27,2.07,,
2017,74.94,20.98,38.57,9.24,Mulanje,4.94,1.93,,
2018,78.57,20.36,36.79,8.46,Mulanje,4.03,2.04,,
2019,75.57,21.12,38.67,8.21,Mulanje,4.68,1.98,,
2020,73.94,21.12,39.68,7.37,Mulanje,3.79,2.03,,
2021,74.7,20.94,38.58,7.99,Mulanje,3.64,2.02,,
2022,78.01,20.48,36.26,9.15,Mulanje,6.13,1.96,,
2023,75.75,21.16,38.06,8.76,Mulanje,5.01,1.94,,
2024,76.39,20.89,35.75,7.88,Mulanje,3.92,1.96,,
2025,77.71,20.75,37.7,7.04,Mulanje,4.97,1.86,,
1981,66.77,22.75,41.87,8.32,Chiradzulu,3.03,2.08,,
1982,69.34,22.57,38.49,9.28,Chiradzulu,4.06,1.9,,
1983,63.15,24.14,39.56,9.63,Chiradzulu,2.85,2.1,,
1984,70.46,22.78,39.5,10.42,Chiradzulu,4.88,1.97,,
1985,69.87,22.63,39.61,8.85,Chiradzulu,3.92,2.03,,
1986,69.38,22.54,39.31,9.58,Chiradzulu,4.53,1.86,,
1987,63.58,23.81,41.29,10.13,Chiradzulu,2.78,2.06,,
1988,67.33,23.39,39.29,10.34,Chiradzulu,3.24,2.03,,
1989,67.71,23.08,40.08,10.61,Chiradzulu,4.1,2.18,,
1990,60.97,24.04,41.05,10.56,Chiradzulu,2.16,2.17,,
1991,64.44,23.32,38.36,10.35,Chiradzulu,3.09,2.05,,
1992,55.24,24.9,40.41,9.57,Chiradzulu,1.81,2.2,,
1993,62.18,23.96,39.81,10.54,Chiradzulu,2.4,2.01,,
1994,59.18,23.79,41.9,10.17,Chiradzulu,2.25,2.24,,
1995,62.54,23.83,39.96,9.67,Chiradzulu,2.83,2.19,,
1996,66.65,23.22,40.37,9.76,Chiradzulu,3.45,2.13,,
1997,70.32,23.0,41.77,10.73,Chiradzulu,3.63,2.04,,
1998,60.84,24.38,40.08,11.0,Chiradzulu,2.29,2.26,,
1999,71.31,22.81,40.22,9.04,Chiradzulu,3.4,2.1,,
2000,65.28,23.81,39.4,10.54,Chiradzulu,2.88,2.04,,
2001,65.1,23.73,39.53,10.4,Chiradzulu,2.96,2.04,,
2002,62.68,24.0,40.13,11.12,Chiradzulu,2.26,2.11,,
2003,65.7,23.73,41.17,10.71,Chiradzulu,2.9,2.07,,
2004,69.48,23.23,40.15,10.53,Chiradzulu,3.31,2.1,,
2005,61.54,24.39,40.39,10.31,Chiradzulu,2.31,2.07,,
2006,66.34,23.7,41.6,10.72,Chiradzulu,2.72,2.01,,
2007,68.05,23.52,40.67,10.53,Chiradzulu,3.3,2.08,,
2008,63.79,23.64,40.73,10.04,Chiradzulu,2.49,1.98,,
2009,65.42,23.7,40.41,10.61,Chiradzulu,2.42,1.99,,
2010,66.71,23.99,41.11,9.89,Chiradzulu,3.79,2.03,,
2011,66.07,23.47,43.02,10.1,Chiradzulu,2.47,1.95,,
2012,63.51,23.96,41.1,9.83,Chiradzulu,2.9,2.0,,
2013,66.98,23.3,41.56,10.69,Chiradzulu,3.25,2.1,,
2014,65.23,23.78,41.35,10.67,Chiradzulu,2.71,2.06,,
2015,65.22,23.89,42.34,11.0,Chiradzulu,4.01,2.0,,
2016,62.22,24.57,41.26,10.93,Chiradzulu,3.27,2.07,,
2017,69.06,23.48,41.92,11.0,Chiradzulu,4.94,1.93,,
2018,71.32,23.08,40.87,10.34,Chiradzulu,4.03,2.04,,
2019,70.31,23.55,42.38,9.95,Chiradzulu,4.68,1.98,,
2020,66.74,23.82,43.15,9.48,Chiradzulu,3.79,2.03,,
2021,67.52,23.65,42.11,9.94,Chiradzulu,3.64,2.02,,
2022,72.11,23.05,39.98,10.22,Chiradzulu,6.13,1.96,,
2023,69.1,23.84,41.99,10.56,Chiradzulu,5.01,1.94,,
2024,67.85,23.77,40.51,10.37,Chiradzulu,3.92,1.96,,
2025,71.33,23.33,41.28,9.31,Chiradzulu,4.97,1.86,,
1981,69.41,21.85,40.33,7.72,Zomba,3.03,2.08,,
1982,72.89,21.64,37.16,8.0,Zomba,4.06,1.9,,
1983,64.9,23.47,37.99,8.99,Zomba,2.85,2.1,,
1984,74.71,21.64,37.25,8.71,Zomba,4.88,1.97,,
1985,74.06,21.53,38.07,7.85,Zomba,3.92,2.03,,
1986,73.96,21.46,37.06,8.38,Zomba,4.53,1.86,,
1987,67.84,22.7,39.23,8.61,Zomba,2.78,2.06,,
1988,69.28,22.64,37.76,9.51,Zomba,3.24,2.03,,
1989,71.76,22.01,38.64,9.25,Zomba,4.1,2.18,,
1990,63.03,23.25,39.76,9.5,Zomba,2.16,2.17,,
1991,67.23,22.46,37.29,8.38,Zomba,3.09,2.05,,
1992,58.02,23.97,39.1,8.15,Zomba,1.81,2.2,,
1993,64.29,23.19,38.22,9.68,Zomba,2.4,2.01,,
1994,60.59,23.13,40.16,9.45,Zomba,2.25,2.24,,
1995,63.56,23.17,38.53,8.77,Zomba,2.83,2.19,,
1996,69.57,22.3,39.26,8.61,Zomba,3.45,2.13,,
1997,73.73,22.08,40.44,9.04,Zomba,3.63,2.04,,
1998,61.23,23.82,38.28,10.05,Zomba,2.29,2.26,,
1999,74.02,21.98,38.39,8.06,Zomba,3.4,2.1,,
2000,67.0,23.05,37.92,9.6,Zomba,2.88,2.04,,
2001,66.8,22.9,38.26,9.17,Zomba,2.96,2.04,,
2002,65.56,23.15,38.91,10.28,Zomba,2.26,2.11,,
2003,67.62,22.95,39.36,8.93,Zomba,2.9,2.07,,
2004,70.76,22.58,39.02,9.94,Zomba,3.31,2.1,,
2005,62.99,23.65,39.29,10.29,Zomba,2.31,2.07,,
2006,68.21,22.93,40.15,9.05,Zomba,2.72,2.01,,
2007,68.66,22.96,39.3,9.79,Zomba,3.3,2.08,,
2008,66.28,22.77,39.95,9.17,Zomba,2.49,1.98,,
2009,66.73,23.04,39.48,9.42,Zomba,2.42,1.99,,
2010,67.85,23.29,39.33,9.34,Zomba,3.79,2.03,,
2011,69.02,22.63,41.48,8.43,Zomba,2.47,1.95,,
2012,65.35,23.24,39.71,8.94,Zomba,2.9,2.0,,
2013,69.73,22.43,40.18,10.05,Zomba,3.25,2.1,,
2014,66.19,23.19,40.06,10.23,Zomba,2.71,2.06,,
2015,69.66,22.79,40.82,9.95,Zomba,4.01,2.0,,
2016,64.73,23.67,40.14,8.94,Zomba,3.27,2.07,,
2017,71.95,22.6,40.04,9.65,Zomba,4.94,1.93,,
2018,74.0,22.26,38.92,8.56,Zomba,4.03,2.04,,
2019,73.9,22.57,40.59,9.39,Zomba,4.68,1.98,,
2020,69.85,22.89,41.1,8.58,Zomba,3.79,2.03,,
2021,70.77,22.7,40.45,8.41,Zomba,3.64,2.02,,
2022,75.8,22.02,37.9,9.89,Zomba,6.13,1.96,,
2023,73.32,22.82,39.94,9.68,Zomba,5.01,1.94,,
2024,70.86,22.9,39.1,9.3,Zomba,3.92,1.96,,
2025,74.57,22.41,39.25,8.73,Zomba,4.97,1.86,,
1981,66.77,22.75,41.87,8.32,Blantyre,3.03,2.08,Chiradzulu,50.0
1982,69.34,22.57,38.49,9.28,Blantyre,4.06,1.9,Chiradzulu,50.0
1983,63.15,24.14,39.56,9.63,Blantyre,2.85,2.1,Chiradzulu,50.0
1984,70.46,22.78,39.5,10.42,Blantyre,4.88,1.97,Chiradzulu,50.0
1985,69.87,22.63,39.61,8.85,Blantyre,3.92,2.03,Chiradzulu,50.0
1986,69.38,22.54,39.31,9.58,Blantyre,4.53,1.86,Chiradzulu,50.0
1987,63.58,23.81,41.29,10.13,Blantyre,2.78,2.06,Chiradzulu,50.0
1988,67.33,23.39,39.29,10.34,Blantyre,3.24,2.03,Chiradzulu,50.0
1989,67.71,23.08,40.08,10.61,Blantyre,4.1,2.18,Chiradzulu,50.0
1990,60.97,24.04,41.05,10.56,Blantyre,2.16,2.17,Chiradzulu,50.0
1991,64.44,23.32,38.36,10.35,Blantyre,3.09,2.05,Chiradzulu,50.0
1992,55.24,24.9,40.41,9.57,Blantyre,1.81,2.2,Chiradzulu,50.0
1993,62.18,23.96,39.81,10.54,Blantyre,2.4,2.01,Chiradzulu,50.0
1994,59.18,23.79,41.9,10.17,Blantyre,2.25,2.24,Chiradzulu,50.0
1995,62.54,23.83,39.96,9.67,Blantyre,2.83,2.19,Chiradzulu,50.0
1996,66.65,23.22,40.37,9.76,Blantyre,3.45,2.13,Chiradzulu,50.0
1997,70.32,23.0,41.77,10.73,Blantyre,3.63,2.04,Chiradzulu,50.0
1998,60.84,24.38,40.08,11.0,Blantyre,2.29,2.26,Chiradzulu,50.0
1999,71.31,22.81,40.22,9.04,Blantyre,3.4,2.1,Chiradzulu,50.0
2000,65.28,23.81,39.4,10.54,Blantyre,2.88,2.04,Chiradzulu,50.0
2001,65.1,23.73,39.53,10.4,Blantyre,2.96,2.04,Chiradzulu,50.0
2002,62.68,24.0,40.13,11.12,Blantyre,2.26,2.11,Chiradzulu,50.0
2003,65.7,23.73,41.17,10.71,Blantyre,2.9,2.07,Chiradzulu,50.0
2004,69.48,23.23,40.15,10.53,Blantyre,3.31,2.1,Chiradzulu,50.0
2005,61.54,24.39,40.39,10.31,Blantyre,2.31,2.07,Chiradzulu,50.0
2006,66.34,23.7,41.6,10.72,Blantyre,2.72,2.01,Chiradzulu,50.0
2007,68.05,23.52,40.67,10.53,Blantyre,3.3,2.08,Chiradzulu,50.0
2008,63.79,23.64,40.73,10.04,Blantyre,2.49,1.98,Chiradzulu,50.0
2009,65.42,23.7,40.41,10.61,Blantyre,2.42,1.99,Chiradzulu,50.0
2010,66.71,23.99,41.11,9.89,Blantyre,3.79,2.03,Chiradzulu,50.0
2011,66.07,23.47,43.02,10.1,Blantyre,2.47,1.95,Chiradzulu,50.0
2012,63.51,23.96,41.1,9.83,Blantyre,2.9,2.0,Chiradzulu,50.0
2013,66.98,23.3,41.56,10.69,Blantyre,3.25,2.1,Chiradzulu,50.0
2014,65.23,23.78,41.35,10.67,Blantyre,2.71,2.06,Chiradzulu,50.0
2015,65.22,23.89,42.34,11.0,Blantyre,4.01,2.0,Chiradzulu,50.0
2016,62.22,24.57,41.26,10.93,Blantyre,3.27,2.07,Chiradzulu,50.0
2017,69.06,23.48,41.92,11.0,Blantyre,4.94,1.93,Chiradzulu,50.0
2018,71.32,23.08,40.87,10.34,Blantyre,4.03,2.04,Chiradzulu,50.0
2019,70.31,23.55,42.38,9.95,Blantyre,4.68,1.98,Chiradzulu,50.0
2020,66.74,23.82,43.15,9.48,Blantyre,3.79,2.03,Chiradzulu,50.0
2021,67.52,23.65,42.11,9.94,Blantyre,3.64,2.02,Chiradzulu,50.0
2022,72.11,23.05,39.98,10.22,Blantyre,6.13,1.96,Chiradzulu,50.0
2023,69.1,23.84,41.99,10.56,Blantyre,5.01,1.94,Chiradzulu,50.0
2024,67.85,23.77,40.51,10.37,Blantyre,3.92,1.96,Chiradzulu,50.0
2025,71.33,23.33,41.28,9.31,Blantyre,4.97,1.86,Chiradzulu,50.0
1981,71.56,19.1,35.71,4.32,Dowa,2.65,2.49,Lilongwe,50.0
1982,76.71,18.89,32.85,4.88,Dowa,4.69,2.38,Lilongwe,50.0
1983,71.51,20.17,35.51,6.13,Dowa,3.86,2.35,Lilongwe,50.0
1984,76.08,19.01,32.78,6.58,Dowa,4.47,2.37,Lilongwe,50.0
1985,76.97,18.66,34.57,3.57,Dowa,3.96,2.4,Lilongwe,50.0
1986,75.96,18.79,33.64,5.23,Dowa,4.59,2.36,Lilongwe,50.0
1987,71.51,19.72,34.76,5.47,Dowa,3.24,2.31,Lilongwe,50.0
1988,73.89,19.6,33.4,6.12,Dowa,3.58,2.46,Lilongwe,50.0
1989,76.31,18.99,34.95,6.22,Dowa,4.45,2.42,Lilongwe,50.0
1990,69.21,19.88,35.07,6.98,Dowa,2.9,2.48,Lilongwe,50.0
1991,69.87,19.73,33.1,5.87,Dowa,3.35,2.39,Lilongwe,50.0
1992,64.55,20.53,34.55,6.4,Dowa,2.86,2.41,Lilongwe,50.0
1993,73.08,19.51,35.03,6.08,Dowa,3.89,2.39,Lilongwe,50.0
1994,64.87,20.18,35.72,6.35,Dowa,2.67,2.48,Lilongwe,50.0
1995,66.58,20.24,35.21,6.02,Dowa,2.88,2.49,Lilongwe,50.0
1996,71.33,19.63,34.83,5.65,Dowa,3.38,2.41,Lilongwe,50.0
1997,74.2,19.65,35.56,6.74,Dowa,2.9,2.52,Lilongwe,50.0
1998,64.16,20.94,34.44,7.53,Dowa,2.12,2.63,Lilongwe,50.0
1999,75.77,19.26,34.09,4.95,Dowa,3.32,2.56,Lilongwe,50.0
2000,70.65,20.01,33.82,7.71,Dowa,2.6,2.46,Lilongwe,50.0
2001,69.51,20.05,34.08,5.55,Dowa,2.8,2.39,Lilongwe,50.0
2002,68.43,20.35,34.8,5.81,Dowa,2.6,2.42,Lilongwe,50.0
2003,70.57,20.11,34.86,7.18,Dowa,2.89,2.25,Lilongwe,50.0
2004,72.67,19.9,34.49,7.28,Dowa,3.51,2.4,Lilongwe,50.0
2005,65.98,20.63,35.23,6.91,Dowa,1.88,2.38,Lilongwe,50.0
2006,71.83,19.96,35.17,5.38,Dowa,2.93,2.31,Lilongwe,50.0
2007,69.81,20.34,35.6,6.98,Dowa,2.77,2.36,Lilongwe,50.0
2008,68.07,20.02,35.45,6.16,Dowa,2.56,2.29,Lilongwe,50.0
2009,70.98,19.94,34.65,6.84,Dowa,2.83,2.23,Lilongwe,50.0
2010,69.72,20.52,35.53,6.66,Dowa,3.25,2.4,Lilongwe,50.0
2011,70.74,19.98,36.99,6.19,Dowa,2.61,2.16,Lilongwe,50.0
2012,68.86,20.31,35.07,4.97,Dowa,3.07,2.22,Lilongwe,50.0
2013,68.41,20.29,35.51,7.41,Dowa,3.37,2.31,Lilongwe,50.0
2014,70.53,20.23,36.56,7.02,Dowa,3.68,2.29,Lilongwe,50.0
2015,67.98,20.68,36.32,7.41,Dowa,1.75,2.37,Lilongwe,50.0
2016,66.43,20.93,35.54,7.94,Dowa,2.27,2.4,Lilongwe,50.0
2017,71.7,20.28,37.03,7.83,Dowa,2.7,2.42,Lilongwe,50.0
2018,71.05,20.29,35.15,5.41,Dowa,3.36,2.39,Lilongwe,50.0
2019,73.52,20.19,35.84,5.67,Dowa,3.62,2.32,Lilongwe,50.0
2020,71.56,20.32,35.16,6.76,Dowa,3.93,2.33,Lilongwe,50.0
2021,72.2,20.03,35.5,6.84,Dowa,3.07,2.39,Lilongwe,50.0
2022,75.12,19.66,34.57,7.01,Dowa,4.48,2.23,Lilongwe,50.0
2023,74.17,20.36,35.64,6.61,Dowa,3.3,2.26,Lilongwe,50.0
2024,70.23,20.6,34.4,5.97,Dowa,4.22,2.29,Lilongwe,50.0
2025,72.29,20.28,34.9,5.95,Dowa,2.89,2.42,Lilongwe,50.0
1981,65.17,22.45,35.17,9.44,Karonga,3.4,2.9,Chitipa,50.0
1982,71.07,22.14,33.96,9.32,Karonga,5.28,2.82,Chitipa,50.0
1983,67.54,22.94,36.16,11.45,Karonga,3.64,2.93,Chitipa,50.0
1984,70.82,21.74,33.88,11.54,Karonga,5.74,2.87,Chitipa,50.0
1985,70.08,21.64,35.03,9.93,Karonga,5.32,2.83,Chitipa,50.0
1986,69.97,21.73,34.23,9.91,Karonga,5.01,2.89,Chitipa,50.0
1987,68.42,22.49,34.85,9.93,Karonga,3.92,2.76,Chitipa,50.0
1988,66.72,22.9,34.71,11.68,Karonga,3.9,2.89,Chitipa,50.0
1989,70.89,21.8,34.86,10.54,Karonga,4.75,2.83,Chitipa,50.0
1990,65.98,22.57,36.42,11.21,Karonga,3.18,2.99,Chitipa,50.0
1991,67.61,22.44,35.21,9.91,Karonga,3.76,2.86,Chitipa,50.0
1992,65.35,22.65,34.81,10.19,Karonga,2.77,2.96,Chitipa,50.0
1993,67.11,22.29,36.04,10.06,Karonga,3.62,3.0,Chitipa,50.0
1994,66.3,22.49,36.22,10.63,Karonga,3.44,2.92,Chitipa,50.0
1995,66.61,22.47,36.02,10.82,Karonga,3.25,2.96,Chitipa,50.0
1996,67.78,22.26,35.56,9.43,Karonga,4.05,2.8,Chitipa,50.0
1997,69.76,22.4,36.08,10.6,Karonga,3.36,2.98,Chitipa,50.0
1998,62.59,23.55,35.61,11.64,Karonga,1.94,3.04,Chitipa,50.0
1999,67.87,22.4,35.54,10.78,Karonga,3.59,3.01,Chitipa,50.0
2000,63.95,22.91,34.76,11.1,Karonga,2.48,2.87,Chitipa,50.0
2001,63.52,23.04,36.25,11.5,Karonga,2.27,2.83,Chitipa,50.0
2002,65.47,23.03,35.21,11.0,Karonga,2.86,2.91,Chitipa,50.0
2003,64.78,23.21,35.65,10.69,Karonga,2.8,2.65,Chitipa,50.0
2004,67.62,22.77,35.49,10.8,Karonga,3.15,2.87,Chitipa,50.0
2005,64.36,23.32,35.8,11.51,Karonga,2.03,2.81,Chitipa,50.0
2006,68.78,22.74,35.62,10.19,Karonga,4.34,2.66,Chitipa,50.0
2007,69.14,22.65,35.99,10.91,Karonga,4.02,2.68,Chitipa,50.0
2008,67.59,22.45,35.55,10.47,Karonga,3.22,2.62,Chitipa,50.0
2009,67.92,22.68,34.47,11.25,Karonga,3.39,2.62,Chitipa,50.0
2010,67.19,22.94,35.44,10.42,Karonga,3.19,2.74,Chitipa,50.0
2011,69.09,22.59,35.97,11.11,Karonga,3.55,2.48,Chitipa,50.0
2012,66.7,22.83,35.51,10.92,Karonga,3.35,2.55,Chitipa,50.0
2013,65.52,23.13,36.54,11.82,Karonga,3.34,2.76,Chitipa,50.0
2014,70.07,22.7,35.24,10.81,Karonga,3.92,2.65,Chitipa,50.0
2015,67.53,23.14,36.0,12.55,Karonga,3.07,2.69,Chitipa,50.0
2016,68.56,22.78,35.2,11.06,Karonga,3.8,2.68,Chitipa,50.0
2017,70.67,22.67,35.77,12.3,Karonga,4.47,2.59,Chitipa,50.0
2018,71.55,22.38,34.57,10.77,Karonga,4.11,2.69,Chitipa,50.0
2019,71.37,22.85,37.13,11.61,Karonga,3.92,2.58,Chitipa,50.0
2020,73.18,22.42,34.66,11.26,Karonga,5.01,2.57,Chitipa,50.0
2021,70.43,22.45,35.6,10.53,Karonga,3.37,2.79,Chitipa,50.0
2022,71.03,22.25,34.46,11.94,Karonga,5.05,2.6,Chitipa,50.0
2023,70.24,23.09,35.83,11.44,Karonga,3.65,2.62,Chitipa,50.0
2024,68.91,23.21,35.39,11.46,Karonga,3.25,2.64,Chitipa,50.0
2025,69.67,22.83,34.94,10.8,Karonga,4.94,2.71,Chitipa,50.0
1981,66.77,22.75,41.87,8.32,Mwanza,3.03,2.08,Chiradzulu,50.0
1982,69.34,22.57,38.49,9.28,Mwanza,4.06,1.9,Chiradzulu,50.0
1983,63.15,24.14,39.56,9.63,Mwanza,2.85,2.1,Chiradzulu,50.0
1984,70.46,22.78,39.5,10.42,Mwanza,4.88,1.97,Chiradzulu,50.0
1985,69.87,22.63,39.61,8.85,Mwanza,3.92,2.03,Chiradzulu,50.0
1986,69.38,22.54,39.31,9.58,Mwanza,4.53,1.86,Chiradzulu,50.0
1987,63.58,23.81,41.29,10.13,Mwanza,2.78,2.06,Chiradzulu,50.0
1988,67.33,23.39,39.29,10.34,Mwanza,3.24,2.03,Chiradzulu,50.0
1989,67.71,23.08,40.08,10.61,Mwanza,4.1,2.18,Chiradzulu,50.0
1990,60.97,24.04,41.05,10.56,Mwanza,2.16,2.17,Chiradzulu,50.0
1991,64.44,23.32,38.36,10.35,Mwanza,3.09,2.05,Chiradzulu,50.0
1992,55.24,24.9,40.41,9.57,Mwanza,1.81,2.2,Chiradzulu,50.0
1993,62.18,23.96,39.81,10.54,Mwanza,2.4,2.01,Chiradzulu,50.0
1994,59.18,23.79,41.9,10.17,Mwanza,2.25,2.24,Chiradzulu,50.0
1995,62.54,23.83,39.96,9.67,Mwanza,2.83,2.19,Chiradzulu,50.0
1996,66.65,23.22,40.37,9.76,Mwanza,3.45,2.13,Chiradzulu,50.0
1997,70.32,23.0,41.77,10.73,Mwanza,3.63,2.04,Chiradzulu,50.0
1998,60.84,24.38,40.08,11.0,Mwanza,2.29,2.26,Chiradzulu,50.0
1999,71.31,22.81,40.22,9.04,Mwanza,3.4,2.1,Chiradzulu,50.0
2000,65.28,23.81,39.4,10.54,Mwanza,2.88,2.04,Chiradzulu,50.0
2001,65.1,23.73,39.53,10.4,Mwanza,2.96,2.04,Chiradzulu,50.0
2002,62.68,24.0,40.13,11.12,Mwanza,2.26,2.11,Chiradzulu,50.0
2003,65.7,23.73,41.17,10.71,Mwanza,2.9,2.07,Chiradzulu,50.0
2004,69.48,23.23,40.15,10.53,Mwanza,3.31,2.1,Chiradzulu,50.0
2005,61.54,24.39,40.39,10.31,Mwanza,2.31,2.07,Chiradzulu,50.0
2006,66.34,23.7,41.6,10.72,Mwanza,2.72,2.01,Chiradzulu,50.0
2007,68.05,23.52,40.67,10.53,Mwanza,3.3,2.08,Chiradzulu,50.0
2008,63.79,23.64,40.73,10.04,Mwanza,2.49,1.98,Chiradzulu,50.0
2009,65.42,23.7,40.41,10.61,Mwanza,2.42,1.99,Chiradzulu,50.0
2010,66.71,23.99,41.11,9.89,Mwanza,3.79,2.03,Chiradzulu,50.0
2011,66.07,23.47,43.02,10.1,Mwanza,2.47,1.95,Chiradzulu,50.0
2012,63.51,23.96,41.1,9.83,Mwanza,2.9,2.0,Chiradzulu,50.0
2013,66.98,23.3,41.56,10.69,Mwanza,3.25,2.1,Chiradzulu,50.0
2014,65.23,23.78,41.35,10.67,Mwanza,2.71,2.06,Chiradzulu,50.0
2015,65.22,23.89,42.34,11.0,Mwanza,4.01,2.0,Chiradzulu,50.0
2016,62.22,24.57,41.26,10.93,Mwanza,3.27,2.07,Chiradzulu,50.0
2017,69.06,23.48,41.92,11.0,Mwanza,4.94,1.93,Chiradzulu,50.0
2018,71.32,23.08,40.87,10.34,Mwanza,4.03,2.04,Chiradzulu,50.0
2019,70.31,23.55,42.38,9.95,Mwanza,4.68,1.98,Chiradzulu,50.0
2020,66.74,23.82,43.15,9.48,Mwanza,3.79,2.03,Chiradzulu,50.0
2021,67.52,23.65,42.11,9.94,Mwanza,3.64,2.02,Chiradzulu,50.0
2022,72.11,23.05,39.98,10.22,Mwanza,6.13,1.96,Chiradzulu,50.0
2023,69.1,23.84,41.99,10.56,Mwanza,5.01,1.94,Chiradzulu,50.0
2024,67.85,23.77,40.51,10.37,Mwanza,3.92,1.96,Chiradzulu,50.0
2025,71.33,23.33,41.28,9.31,Mwanza,4.97,1.86,Chiradzulu,50.0
1981,66.77,22.75,41.87,8.32,Neno,3.03,2.08,Chiradzulu,50.0
1982,69.34,22.57,38.49,9.28,Neno,4.06,1.9,Chiradzulu,50.0
1983,63.15,24.14,39.56,9.63,Neno,2.85,2.1,Chiradzulu,50.0
1984,70.46,22.78,39.5,10.42,Neno,4.88,1.97,Chiradzulu,50.0
1985,69.87,22.63,39.61,8.85,Neno,3.92,2.03,Chiradzulu,50.0
1986,69.38,22.54,39.31,9.58,Neno,4.53,1.86,Chiradzulu,50.0
1987,63.58,23.81,41.29,10.13,Neno,2.78,2.06,Chiradzulu,50.0
1988,67.33,23.39,39.29,10.34,Neno,3.24,2.03,Chiradzulu,50.0
1989,67.71,23.08,40.08,10.61,Neno,4.1,2.18,Chiradzulu,50.0
1990,60.97,24.04,41.05,10.56,Neno,2.16,2.17,Chiradzulu,50.0
1991,64.44,23.32,38.36,10.35,Neno,3.09,2.05,Chiradzulu,50.0
1992,55.24,24.9,40.41,9.57,Neno,1.81,2.2,Chiradzulu,50.0
1993,62.18,23.96,39.81,10.54,Neno,2.4,2.01,Chiradzulu,50.0
1994,59.18,23.79,41.9,10.17,Neno,2.25,2.24,Chiradzulu,50.0
1995,62.54,23.83,39.96,9.67,Neno,2.83,2.19,Chiradzulu,50.0
1996,66.65,23.22,40.37,9.76,Neno,3.45,2.13,Chiradzulu,50.0
1997,70.32,23.0,41.77,10.73,Neno,3.63,2.04,Chiradzulu,50.0
1998,60.84,24.38,40.08,11.0,Neno,2.29,2.26,Chiradzulu,50.0
1999,71.31,22.81,40.22,9.04,Neno,3.4,2.1,Chiradzulu,50.0
2000,65.28,23.81,39.4,10.54,Neno,2.88,2.04,Chiradzulu,50.0
2001,65.1,23.73,39.53,10.4,Neno,2.96,2.04,Chiradzulu,50.0
2002,62.68,24.0,40.13,11.12,Neno,2.26,2.11,Chiradzulu,50.0
2003,65.7,23.73,41.17,10.71,Neno,2.9,2.07,Chiradzulu,50.0
2004,69.48,23.23,40.15,10.53,Neno,3.31,2.1,Chiradzulu,50.0
2005,61.54,24.39,40.39,10.31,Neno,2.31,2.07,Chiradzulu,50.0
2006,66.34,23.7,41.6,10.72,Neno,2.72,2.01,Chiradzulu,50.0
2007,68.05,23.52,40.67,10.53,Neno,3.3,2.08,Chiradzulu,50.0
2008,63.79,23.64,40.73,10.04,Neno,2.49,1.98,Chiradzulu,50.0
2009,65.42,23.7,40.41,10.61,Neno,2.42,1.99,Chiradzulu,50.0
2010,66.71,23.99,41.11,9.89,Neno,3.79,2.03,Chiradzulu,50.0
2011,66.07,23.47,43.02,10.1,Neno,2.47,1.95,Chiradzulu,50.0
2012,63.51,23.96,41.1,9.83,Neno,2.9,2.0,Chiradzulu,50.0
2013,66.98,23.3,41.56,10.69,Neno,3.25,2.1,Chiradzulu,50.0
2014,65.23,23.78,41.35,10.67,Neno,2.71,2.06,Chiradzulu,50.0
2015,65.22,23.89,42.34,11.0,Neno,4.01,2.0,Chiradzulu,50.0
2016,62.22,24.57,41.26,10.93,Neno,3.27,2.07,Chiradzulu,50.0
2017,69.06,23.48,41.92,11.0,Neno,4.94,1.93,Chiradzulu,50.0
2018,71.32,23.08,40.87,10.34,Neno,4.03,2.04,Chiradzulu,50.0
2019,70.31,23.55,42.38,9.95,Neno,4.68,1.98,Chiradzulu,50.0
2020,66.74,23.82,43.15,9.48,Neno,3.79,2.03,Chiradzulu,50.0
2021,67.52,23.65,42.11,9.94,Neno,3.64,2.02,Chiradzulu,50.0
2022,72.11,23.05,39.98,10.22,Neno,6.13,1.96,Chiradzulu,50.0
2023,69.1,23.84,41.99,10.56,Neno,5.01,1.94,Chiradzulu,50.0
2024,67.85,23.77,40.51,10.37,Neno,3.92,1.96,Chiradzulu,50.0
2025,71.33,23.33,41.28,9.31,Neno,4.97,1.86,Chiradzulu,50.0
1981,65.17,22.45,35.17,9.44,Nkhata Bay,3.4,2.9,Chitipa,50.0
1982,71.07,22.14,33.96,9.32,Nkhata Bay,5.28,2.82,Chitipa,50.0
1983,67.54,22.94,36.16,11.45,Nkhata Bay,3.64,2.93,Chitipa,50.0
1984,70.82,21.74,33.88,11.54,Nkhata Bay,5.74,2.87,Chitipa,50.0
