Year,Actual_kg,Actual_mt,ARIMAX_kg,ARIMAX_SVR_kg,ARIMAX_Error_kg,SVR_Error_kg
2016,1249.6415046952732,1.2496415046952731,1597.481520023894,1442.2746912800749,-347.8400153286209,-192.6331865848017
2017,1906.0469226968328,1.9060469226968328,2014.595775225585,2044.6542169410413,-108.54885252875215,-138.60729424420856
2018,1607.7374936429594,1.6077374936429594,2125.6514120926386,1761.6895239460534,-517.9139184496792,-153.95203030309403
2019,1904.4789159126456,1.9044789159126456,2495.6094735386514,2249.6931934427307,-591.1305576260058,-345.21427753008516
2020,2056.8762634426726,2.0568762634426725,2369.4578826008938,1897.6837267737499,-312.5816191582212,159.19253666892268
2021,2509.302768288333,2.509302768288333,2402.296068821631,2107.807485327071,107.00669946670223,401.4952829612621
2022,2077.4139028873224,2.077413902887322,3170.9373005435496,2924.0581666547178,-1093.5233976562272,-846.6442637673954
